user_id,signup_date,age,email,country,acquisition_channel
bdd640fb-0667-4ad1-9c80-317fa3b1799d,2025-03-07,58,,Denmark,Google
1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,2025-08-01,32,garzaanthony@example.org,Ireland,Instagram
9a1de644-815e-46d1-bb8f-aa1837f8a88b,2024-12-06,,,France,Google
b38a088c-a65e-4389-b74d-0fb132e70629,2025-06-14,150,shaneramirez@example.org,Ireland,Google
b2b9437a-28df-4ec4-8e4a-2bbdc241330b,2025-04-30,150,eric51@example.org,Denmark,Google
d8f56413-5be6-428e-98c2-67976142ea7d,2025-04-01,150,lindsay78@example.org,France,Google
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,2025-06-17,,barbara10@example.net,France,Google
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,2024-12-26,,michellejames@example.com,Denmark,Instagram
29a3b2e9-5d65-4441-9588-42dea2bc372f,2025-04-11,,elizabethmiles@example.net,France,Organic
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,2025-01-28,52,frankgray@example.net,Denmark,Instagram
af42e12f-3838-4326-8e94-4239b02b61c4,2025-03-25,,perezantonio@example.com,Ireland,Referral
3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,2025-10-27,54,jason76@example.net,France,Google
23bed01d-43cf-4fde-a493-3b83757750a9,2025-02-25,,julie69@example.com,France,Instagram
ff5e9ff0-ff50-4de4-b825-67b85cabcc97,2025-01-16,,ddavis@example.org,Denmark,Google
cac5b68c-28f4-4481-a0a0-4dc427209bdf,2025-08-03,,cruzcaitlin@example.com,Denmark,Instagram
8da0365b-f898-47b9-805c-acec877409a9,2025-10-08,150,frazierdanny@example.net,Ireland,Google
a4161293-c4c2-42e3-844e-a7c8c0398710,2025-03-31,,ryan70@example.net,Ireland,Google
f8cda88b-436d-46e2-b83c-fe0be037e5ed,2025-05-29,,williamrodriguez@example.net,France,Google
81f631d4-a392-41a7-9777-a4774c66e0a8,2025-07-07,70,nathanielmartin@example.net,Denmark,Referral
52fbe43b-9954-4eb4-8025-7ad1eb2263dd,2025-05-24,22,hickmannatasha@example.com,Ireland,Referral
e0c53cb8-3da9-42a9-8ed4-2f1a3d4cbf37,2025-06-22,150,millertodd@example.org,Ireland,Organic
c40db9b4-885f-4e66-82b6-d2c5fa5d3100,2025-01-12,,karroyo@example.com,Ireland,Referral
6c52c49f-9b49-4d26-9f57-c59a8715a103,2025-11-14,150,jenniferross@example.net,Ireland,Organic
e64d1bcb-7027-43a1-9f98-7c71a65e688e,2025-06-04,41,wrightcaleb@example.org,France,Organic
96a402f2-3ae8-4c93-8dcd-cd03969b6662,2025-02-15,23,zimmermanbrian@example.org,France,Google
5496f63c-dc11-40c1-880a-adfbe7c99b26,2024-12-22,150,joshuawashington@example.net,France,Organic
e1e3db63-ef7d-4c76-b92d-a22b21df306f,2025-06-24,150,esanchez@example.com,Ireland,Referral
a8b317fa-18d0-452b-9825-bc5430beb45f,2025-05-03,150,ujenkins@example.org,France,Instagram
a56c0941-fbf2-4050-a748-dbcfac619e63,2025-01-02,150,zchandler@example.org,Ireland,Referral
894a05e4-30b1-47ef-b10c-0c003fa7f104,2025-05-10,,dwhite@example.org,Denmark,Instagram
71710434-134c-4c92-ac5b-227cdfde4fbf,2025-09-18,150,williamsyvette@example.org,Denmark,Google
c0e9ab30-ed26-42e9-97e0-11b7f8102383,2025-10-03,50,richardolson@example.com,Denmark,Google
610461e3-2a25-4888-8f02-bad0e7067ef4,2024-11-27,,ybaker@example.com,Ireland,Instagram
f512c4c3-b253-4218-ac4a-37ea490617f2,2025-08-21,,smoore@example.org,France,Referral
bc594585-9445-48c0-8ef8-c2d6f7fd5646,2025-06-13,,brian97@example.net,France,Instagram
284d82e5-87f7-41fb-9a4b-d9caeb5cf467,2024-12-17,150,yorkcasey@example.org,France,Google
675dd5af-3c36-4296-9ca0-2eecacdabacc,2025-01-09,150,bethwilliams@example.org,Ireland,Google
90b2b633-956b-4c0c-a849-9b926b5252e3,2025-06-06,150,james53@example.com,Denmark,Google
a53f8a28-abf3-43fc-a181-3d25655238a6,2025-03-16,150,sarah10@example.com,Ireland,Google
ff002d4d-9020-49e4-bf9a-b5c29f044aed,2025-01-02,,williamanderson@example.com,Ireland,Referral
3e896c64-e117-4ac3-919c-4ea3e1805081,2025-04-11,150,samueldaniels@example.com,France,Google
ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,2025-07-24,,,Ireland,Google
8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,2025-03-16,55,,Ireland,Instagram
e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,2025-01-15,32,prestonjulia@example.org,Denmark,Instagram
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,2025-08-16,50,gracefarrell@example.net,Denmark,Google
e87d1c78-e7c4-41c7-8049-7b717d106c60,2025-10-02,52,waltersmaria@example.org,Ireland,Organic
217d65a0-c568-41cd-9563-f61600e85ece,2025-07-18,,evan78@example.net,France,Instagram
1ca3c448-0279-46a6-8f97-97b06d7ce3c9,2024-12-24,150,amydavenport@example.net,Denmark,Organic
20a04502-6e06-4097-a5e9-79778d7248e2,2024-12-12,150,,Ireland,Instagram
cbceabde-eede-4b07-a623-a6895d59cd2a,2025-11-17,,nolanjason@example.org,France,Google
c7b5b2bc-5a8a-4eca-9a50-aec3aabc25fa,2025-06-19,30,vdickson@example.org,France,Organic
dd56cc94-3c9a-414c-ae0c-aeb5ecfedb99,2025-01-25,,nicolejohnson@example.net,France,Organic
ee49f329-c84a-4b28-950a-1b46ecab3301,2025-04-26,150,,Ireland,Instagram
cf8d446a-bc2c-4b0d-9d33-4cc7ab7f089a,2025-02-25,80,kristinrodriguez@example.org,France,Google
33173470-38f1-4a81-b87f-2425dbccc477,2025-09-21,,ybailey@example.org,Denmark,Instagram
3170f437-a8f7-4f5a-860e-df5b39118497,2025-04-21,,,Denmark,Referral
f7860b50-11c5-4ef0-9d46-3c09475287aa,2025-09-06,,darlene68@example.com,Ireland,Organic
e08596db-1d87-4966-8710-d430f071d879,2025-11-17,27,beverlyterrell@example.org,France,Instagram
587ef344-6f3f-420c-98b8-e4cc1bc044fc,2025-08-20,,,Ireland,Organic
fbf6e16f-9b30-40d5-afb7-8271504d281f,2025-06-02,150,mlam@example.com,Ireland,Instagram
006ed6e3-6fa1-4735-b572-f3d00b5cea6a,2025-06-05,72,,France,Google
b82c9074-afd5-4ea5-89d7-fd6cce777f00,2025-11-06,43,michaeljones@example.net,Ireland,Google
505cc686-9f87-4ce7-9487-fd4febb7a385,2025-07-27,150,,France,Organic
